장소 이름,검색위치,카테고리,세부 태그/설명,지역,구글 지도 링크,출처
아마무 다코탄 본점 (AMAM DACOTAN / アマムダコタン 六本松),아마무 다코탄 본점 일본 후쿠오카,식당 및 카페,전설적인 베이커리 / 요리빵 / 마리토초,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%EC%95%84%EB%A7%88%EB%AC%B4%EB%8B%A4%EC%BD%94%ED%83%84%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=nl_2zJr9M1k
효탄 스시 본점 (ひょうたん寿司 本店),효탄 스시 본점 일본 후쿠오카,식당 및 카페,텐진 가성비 스시 노포 / 해산물 안주,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%ED%9A%A8%ED%83%84%EC%8A%A4%EC%8B%9C%20%EB%B3%B8%EC%A0%90%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=nl_2zJr9M1k
야마나카 스시 본점 (やま中 本店),야마나카 스시 본점 일본 후쿠오카,식당 및 카페,후쿠오카 정통 고급 스시 / 나나츠보시 런치,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%EC%95%BC%EB%A7%88%EB%82%98%EC%B9%B4%20%EC%8A%A4%EC%8B%9C%20%EB%B3%B8%EC%A0%90%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=nl_2zJr9M1k
아임도넛 후쿠오카점 (I'm donut? 福岡店),아임도넛 후쿠오카점 일본 후쿠오카,식당 및 카페,생도넛 전문점 / 텐진 핫플,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=I%27m%20donut%3F%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=nl_2zJr9M1k
포켓몬센터 후쿠오카 (Pokémon Center Fukuoka),포켓몬센터 후쿠오카 일본 후쿠오카,쇼핑 및 시장,포켓몬 공식 스토어 / 카드 & 굿즈,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%ED%8F%AC%EC%BC%93%EB%AA%AC%EC%84%BC%ED%84%B0%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=nl_2zJr9M1k
스시사카바 사시스 하카타점 (すし酒場 さしす 博多店),스시사카바 사시스 하카타점 일본 후쿠오카,식당 및 카페,참치김초밥 / 스시 이자카야,일본 후쿠오카,https://maps.app.goo.gl/QMcx7skSF9fcKpvK7,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
이몬네 하카타 (芋んね 博多店),이몬네 하카타 일본 후쿠오카,식당 및 카페,모찌 젤라또 / 디저트,일본 후쿠오카,https://maps.app.goo.gl/3Psh24LuQDNumvyq8,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
죠스이안 하카타역앞본점 (如水庵 博多駅前本店),죠스이안 하카타역앞본점 일본 후쿠오카,식당 및 카페,딸기모찌 / 전통 화과자,일본 후쿠오카,https://maps.app.goo.gl/QyTZ63moMbmL7fUJ9,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
BOUL'ANGE 하카타점 (블랑제 하카타),BOUL'ANGE 하카타점 일본 후쿠오카,식당 및 카페,크루아상 우유아이스크림 / 베이커리,일본 후쿠오카,https://maps.app.goo.gl/h6A8Pphe37aZKysTA,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
더 게이트 호텔 후쿠오카 바이 훌릭 (THE GATE HOTEL FUKUOKA by HULIC),더 게이트 호텔 후쿠오카 바이 훌릭 일본 후쿠오카,숙박,텐진 럭셔리 신축 호텔,일본 후쿠오카,https://maps.app.goo.gl/W7AtoCswhAhQMd9o9,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
야키토리 마코 (焼鳥 まこ),야키토리 마코 일본 후쿠오카,식당 및 카페,야키토리 코스 / 닭구이,일본 후쿠오카,https://maps.app.goo.gl/Bn48tNHsMsfdaeHK8,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
돈키호테 후쿠오카 텐진본점 (ドン・キホーテ 福岡天神本店),돈키호테 후쿠오카 텐진본점 일본 후쿠오카,쇼핑 및 시장,24시간 종합 할인 매장,일본 후쿠오카,https://maps.app.goo.gl/FTqahYeUvTrVUNAy5,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
쿠시아게 하야시 (串揚げはやし),쿠시아게 하야시 일본 후쿠오카,식당 및 카페,쿠시아게 튀김 오마카세,일본 후쿠오카,https://maps.app.goo.gl/HA5DqRw7JgmWTfrK7,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
이치란 라멘 본사총본점 (一蘭 本社総本店),이치란 라멘 본사총본점 일본 후쿠오카,식당 및 카페,돈코츠 라멘 본점,일본 후쿠오카,https://maps.app.goo.gl/1AE859nq5Mkz7Ky79,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
사바타로 (サバ太郎),사바타로 일본 후쿠오카,식당 및 카페,고등어 솥밥 아침 정식 / 조식,일본 후쿠오카,https://maps.app.goo.gl/9MXf1ctDwoMpZSEX6,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
스시 사카이 (鮨 さかい),스시 사카이 일본 후쿠오카,식당 및 카페,미슐랭 3스타 스시 오마카세,일본 후쿠오카,https://maps.app.goo.gl/xVzbJcp16iQqpbDg6,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
팡스톡 텐진점 (stock / 빵스톡 & 코에도 커피),팡스톡 텐진점 일본 후쿠오카,식당 및 카페,명란 바게트 / 하레노가든,일본 후쿠오카,https://maps.app.goo.gl/gSLkzMgH5hS7p6ND6,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
미츠이모 타임 야쿠인점 (蜜芋 TIME),미츠이모 타임 야쿠인점 일본 후쿠오카,식당 및 카페,군고구마 디저트 / 아이스크림,일본 후쿠오카,https://maps.app.goo.gl/HXVbmkUqG69ng53X8,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
나가라쿠 (炉端 ながらく),나가라쿠 일본 후쿠오카,식당 및 카페,숯불 로바타야키 이자카야,일본 후쿠오카,https://maps.app.goo.gl/vEt545koTipr16ps5,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
효고토리 (ひょうご鳥),효고토리 일본 후쿠오카,식당 및 카페,닭구이 코스 / 야키토리,일본 후쿠오카,https://maps.app.goo.gl/3zcy1k4f9TQi8poP7,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
후르츠 가든 신선 (フルーツガーデン 新鮮),후르츠 가든 신선 일본 후쿠오카,식당 및 카페,과일 샌드 / 후르츠 산도,일본 후쿠오카,https://maps.app.goo.gl/YqiuvNHdURL9L5wd6,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
다코멧카 (DACOMECCA / ダコメッカ),다코멧카 일본 후쿠오카,식당 및 카페,하카타역 베이커리 카페 / 소시지빵,일본 후쿠오카,https://maps.app.goo.gl/g1Wtx2UuXJKhXQ1X6,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
이쿠라 텐진이마이즈미점 (いくら 天神今泉店),이쿠라 텐진이마이즈미점 일본 후쿠오카,식당 및 카페,함박스테이크 & 철판 오므라이스,일본 후쿠오카,https://maps.app.goo.gl/TSR89sFrk7p3Y6iM8,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
멘야 카네토라 텐진본점 (麺や 兼虎 天神本店),멘야 카네토라 텐진본점 일본 후쿠오카,식당 및 카페,농후 츠케멘 전문점,일본 후쿠오카,https://maps.app.goo.gl/enEYeaXUNfgg4yv5A,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
이모야 킨지로 텐진점 (芋屋金次郎 天神地下街店),이모야 킨지로 텐진점 일본 후쿠오카,식당 및 카페,고구마튀김 / 켄피 디저트,일본 후쿠오카,https://maps.app.goo.gl/LvVB5LQabR3ecRiK9,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
